year,agency_prefix,stu_enroll,cte_enroll,county,district_code,sum_cluster_in_county,sum_cluster_in_state,unique_career_clusters_y,total_concentrators
2017,,,,Harnett,430,48,3942,15,862
2017,,,,Haywood,440,26,3942,12,999
2017,,,,Henderson,450,55,3942,14,840
2017,,,,Hertford,460,13,3942,10,887
2017,,,,Hoke,470,16,3942,14,268
2017,,,,Hyde,480,6,3942,6,23
2017,,,,Iredell,490,63,3942,14,3081
2017,,,,Jackson,500,21,3942,11,490
2017,,,,Johnston,510,99,3942,14,2436
2017,,,,Jones,520,8,3942,8,97
2017,,,,Lee,530,28,3942,14,739
2017,,,,Lenoir,540,36,3942,12,897
2017,,,,Lincoln,550,48,3942,13,496
2017,,,,Macon,560,20,3942,11,116
2017,,,,Madison,570,17,3942,11,187
2017,,,,Martin,580,11,3942,7,1779
2017,,,,McDowell,590,21,3942,12,376
2017,,,,Mecklenburg,600,188,3942,14,5910
2017,,,,Mitchell,610,13,3942,12,614
2017,,,,Montgomery,620,19,3942,11,234
2017,,,,Moore,630,31,3942,13,1267
2017,,,,Nash,640,44,3942,13,1252
2017,,,,New Hanover,650,45,3942,13,656
2017,,,,Northampton,660,10,3942,10,1061
2017,,,,Onslow,670,62,3942,15,3194
2017,,,,Orange,680,25,3942,13,4050
2017,,,,Pamlico,690,10,3942,10,159
2017,,,,Pasquotank,700,23,3942,12,406
2017,,,,Pender,710,24,3942,12,3171
2017,,,,Perquimans,720,12,3942,12,143
2017,,,,Person,730,13,3942,13,379
2017,,,,Pitt,740,63,3942,13,3159
2017,,,,Polk,750,9,3942,9,195
2017,,,,Randolph,760,65,3942,14,1814
2017,,,,Richmond,770,18,3942,13,1054
2017,,,,Robeson,780,75,3942,13,1813
2017,,,,Rockingham,790,39,3942,13,797
2017,,,,Rowan,800,50,3942,13,1023
2017,,,,Rutherford,810,34,3942,13,917
2017,,,,Sampson,820,38,3942,14,1347
2017,,,,Scotland,830,12,3942,11,514
2017,,,,Stanly,840,43,3942,12,1729
2017,,,,Stokes,850,35,3942,12,503
2017,,,,Surry,860,42,3942,14,1401
2017,,,,Swain,870,9,3942,9,137
2017,,,,Transylvania,880,28,3942,13,764
2017,,,,Tyrrell,890,4,3942,4,210
2017,,,,Union,900,87,3942,14,2067
2017,,,,Vance,910,16,3942,9,205
2017,,,,Wake,920,256,3942,14,6871
2017,,,,Warren,930,9,3942,9,83
2017,,,,Washington,940,7,3942,9,101
2017,,,,Watauga,950,12,3942,12,381
2017,,,,Wayne,960,61,3942,13,1061
2017,,,,Wilkes,970,42,3942,13,845
2017,,,,Wilson,980,32,3942,13,916
2017,,,,Yadkin,990,24,3942,14,703
2017,,,,Yancey,995,12,3942,12,157
